	enthalpy	vdw	elec	entropy	PDB_name	cluster_id
0	-21.4792907066764	-64.27118531114907	-16.232150040794387	-0.37745290179882396	10	1
1	-18.538947502778207	-62.28500776469268	-16.899949400020024	-0.37745290179882396	15	1
2	-21.476927633350464	-64.50926350936665	-16.169156119499423	-0.37745290179882396	19	1
3	-12.818051620384669	-59.902922031002085	-16.14362416532337	-0.9283414237983197	1	2
4	-15.353590205766634	-58.3969123958291	-16.45126814126216	-0.9283414237983197	16	2
5	-17.157855635922726	-60.53737415147594	-16.43923119707557	-0.9283414237983197	17	2
6	-19.399752851902825	-63.084852180515625	-16.279768058565075	-0.9283414237983197	2	2
7	-18.73430624139581	-61.25097654501753	-16.491331257201153	-0.9283414237983197	22	2
8	-12.22141755498098	-57.690443650658914	-16.26231492137499	-0.9283414237983197	24	2
9	-17.12751722898754	-59.38432092970659	-16.6727173691023	-0.9283414237983197	3	2
10	-15.912210143009522	-59.007978980905534	-16.682901058267017	-0.9283414237983197	8	2
11	-15.848943345375249	-60.80692757848968	-16.516343381555288	-0.9283414237983197	9	2
12	-11.981674402041971	-57.0995374009809	-15.81347279999747	-0.572855344685278	11	3
13	-18.621816445313684	-61.14508665109136	-16.04415519125866	-0.572855344685278	12	3
14	-11.95281610956004	-57.01968120547848	-15.878810742802708	-0.572855344685278	13	3
15	-14.946038937602353	-58.190213181152	-16.783874926535724	-0.572855344685278	14	3
16	-13.939150435796474	-57.23736477140711	-16.973566920352507	-0.572855344685278	18	3
17	-18.54486117383107	-60.77298505786854	-16.107087227536983	-0.572855344685278	20	3
18	-11.8822210324183	-56.70281939990859	-15.924831289127994	-0.572855344685278	21	3
19	-18.493261502445502	-61.266073554339116	-16.092049808354886	-0.572855344685278	23	3
20	-17.200368599511858	-59.309808867930464	-15.525190855561911	-0.572855344685278	4	3
21	-18.498249112043624	-60.62298943834541	-16.151846580649792	-0.572855344685278	5	3
22	-11.982416814983033	-57.06486869344303	-15.828642371696027	-0.572855344685278	6	3
23	-11.480223370305916	-56.270628040903226	-16.164681662958284	-0.572855344685278	7	3
