	enthalpy	PDB_name
0	-22.46807889253467	19
1	-22.19573262040033	10
2	-22.051323125347285	15
3	-22.046051006748428	22
4	-21.997620014453076	2
5	-21.558190605521265	5
6	-21.544910327699643	23
7	-21.236169706310214	20
8	-20.785043243036913	12
9	-20.745145698211	3
10	-20.333371464560933	4
11	-20.313231450700318	8
12	-19.918013545123443	17
13	-19.48476661582724	14
14	-18.716565258106517	9
15	-18.50451292850184	18
16	-16.75549379510009	6
17	-16.718010793898316	11
18	-16.687182896427185	21
19	-16.610336966643136	1
20	-16.541312666151686	24
21	-16.528097897186644	13
22	-16.52143252983843	7
23	-14.76215082485309	16
24	-11.058647259270046	25
