	enthalpy	vdw	elec	entropy	PDB_name	cluster_id
0	-44.85540095018554	-75.07416385307376	-21.153145017513168	-0.4110362780720475	24	1
1	-38.96566190419877	-71.32090393881478	-20.379413482163496	-0.4110362780720475	4	1
2	-37.67365816168462	-71.2019110385036	-20.21381126496463	-0.822072556144095	11	2
3	-37.074216506924834	-69.92798465264347	-20.08927298981836	-0.822072556144095	5	2
4	-44.381205320491986	-73.91510153920157	-22.21132771565082	0.0	1	3
5	-45.040888752880406	-74.68084094772858	-22.117456385059796	0.0	13	3
6	-44.63185031911943	-74.08094251934358	-22.271604632083875	0.0	2	3
7	-44.96538010128551	-74.73457435466733	-22.06689359280722	0.0	22	3
8	-37.98002844532157	-72.26917929950245	-20.900061419671445	-0.7981918370729782	12	4
9	-43.777395349309934	-74.55653894313093	-20.579677733987022	-0.7981918370729782	15	4
10	-33.164024225937496	-69.92821874522112	-19.789709021484004	-0.7981918370729782	25	4
11	-39.00973231292437	-70.8854957911858	-20.332453386482438	-0.7981918370729782	3	4
12	-38.602881171070635	-72.0748624467216	-20.97478208480775	-0.7981918370729782	6	4
13	-39.3973750969766	-70.90907943067177	-20.58371514003421	-0.4110362780720475	14	5
14	-39.41669591780586	-71.01928646256653	-20.57955275243901	-0.4110362780720475	16	5
15	-43.85998296094006	-73.34235978321374	-21.593472749722682	-0.4110362780720475	17	5
16	-43.784831041163976	-73.72986211948671	-21.50491226410454	-0.4110362780720475	7	5
17	-39.04245662510279	-71.51828993241826	-20.201466228201763	-0.4110362780720475	8	5
18	-36.128983344022174	-63.56323804059235	-21.860843563232713	-0.4110362780720475	9	5
