	enthalpy	PDB_name
0	-26.579039045445217	10
1	-26.575537827161167	11
2	-26.535029856125217	20
3	-26.53158025234366	15
4	-26.487921655503484	7
5	-26.468856651777376	3
6	-26.39504833263533	13
7	-26.331512032512585	23
8	-26.30369272962138	8
9	-25.830516390702854	12
10	-25.11184330768636	24
11	-24.348687550928144	21
12	-24.34748393157365	14
13	-24.314906274050344	4
14	-24.161253614053198	18
15	-23.730422575179972	2
16	-23.671104444191936	22
17	-22.635086394364457	9
18	-22.481907036452906	16
19	-21.757352038617622	25
20	-21.717439887067766	1
21	-21.053925368742675	19
22	-20.418663565976928	5
23	-20.308587876325078	6
24	-18.5577989558717	17
