	enthalpy	vdw	elec	entropy	PDB_name	cluster_id
0	-28.045240481506106	-67.23477546582129	-19.277293844598585	-0.588759452673312	1	1
1	-21.394518776955	-69.90394412011048	-18.099708416529015	-0.588759452673312	10	1
2	-27.984893922936077	-67.1267249330234	-19.26000684682585	-0.588759452673312	11	1
3	-23.209887408080785	-63.46554676183827	-19.10720355767044	-0.588759452673312	12	1
4	-25.45058165875508	-68.64664405787455	-18.55119484392514	-0.588759452673312	13	1
5	-27.83745403492648	-67.46866719973215	-19.360155663711208	-0.588759452673312	15	1
6	-21.731399556154535	-65.97784547024199	-18.181513254477668	-0.588759452673312	16	1
7	-21.65646017331084	-64.42068440890463	-17.528342194255515	-0.588759452673312	17	1
8	-23.207963322131402	-63.30709545246311	-19.109293842626037	-0.588759452673312	18	1
9	-22.77366475505324	-64.16802284332286	-18.890354774567825	-0.588759452673312	19	1
10	-18.405679095591218	-64.76826297352706	-18.917668461583126	-0.588759452673312	2	1
11	-23.0306530316719	-65.73301502078708	-19.46149965032988	-0.588759452673312	20	1
12	-27.924438151267065	-67.29132669193581	-19.336863051193166	-0.588759452673312	22	1
13	-18.274855046790194	-64.12111733715165	-19.087707498676018	-0.588759452673312	23	1
14	-28.036129738075484	-67.4647383029788	-19.26765562088036	-0.588759452673312	24	1
15	-26.53535824595332	-70.1062367951748	-18.57241919621136	-0.588759452673312	25	1
16	-23.16057453185577	-63.769380615125336	-18.96036901849316	-0.588759452673312	4	1
17	-23.172516135240112	-63.91639587714289	-18.908225592793897	-0.588759452673312	5	1
18	-28.025374051274166	-67.71895999861488	-19.308722801534486	-0.588759452673312	6	1
19	-27.997333714716408	-67.63160684093918	-19.25486887716047	-0.588759452673312	7	1
20	-27.905559102134923	-67.63845622635691	-19.381447317282902	-0.588759452673312	8	1
