	total_energy	vdw	elec	entropy	cluster_size	PDB_name	cluster_id
0	-28.697269271753346	-61.21174281860124	-20.045009801348133	-0.9709117037032534	11	15	3
1	-22.812330777813525	-56.16086811898908	-20.834467742416393	-0.3774529017988239	3	25	1
2	-20.96783554793371	-54.687136237810435	-20.222401922973496	-0.6669294815179067	4	10	2
