	enthalpy	PDB_name
0	-29.51561423159414	15
1	-29.406745705366454	13
2	-28.76125300389274	18
3	-28.687353564750307	22
4	-28.68429846387825	16
5	-28.06827820397452	10
6	-28.0503168190715	21
7	-28.046040024582474	20
8	-27.96440605787373	3
9	-27.901808165422167	11
10	-27.74712954906761	24
11	-27.039403636427096	7
12	-25.741243687052407	6
13	-25.51264196354026	8
14	-25.49538749096924	14
15	-25.45853496422693	9
16	-24.906314253995685	25
17	-23.76053008307229	23
18	-23.596663843549	1
19	-23.118934998149854	4
20	-21.75729774693545	2
21	-17.20762567404947	19
22	-15.879697530967311	17
23	-15.576370605066291	12
24	-14.750976439711279	5
