	total_energy	grid_total	grid_vdw	grid_elec	grid_hbond	conformer_id	placement_id	PDB_name	cluster_size
0	-117.5424205258594	-101.90358601009922	-54.832399447510724	-47.071186562588494	0	11	50	11_50.pdb	15
1	-113.51906598256362	-86.4813942411183	-49.02060359673163	-37.46079064438666	0	6	20	6_20.pdb	11
2	-102.49109212626291	-85.18467839988026	-43.438352571973255	-41.74632582790701	0	1	95	1_95.pdb	20
3	-101.51835452853268	-91.97427274838947	-48.72343294099841	-43.25083980739106	0	7	37	7_37.pdb	9
4	-101.32986130727122	-87.49328488757328	-47.484057084798465	-40.00922780277482	0	4	39	4_39.pdb	7
5	-93.46167758784372	-75.51849612964932	-41.43943310435682	-34.0790630252925	0	9	60	9_60.pdb	6
6	-92.22110721839162	-74.56094715867442	-42.16810960723892	-32.39283755143551	0	8	99	8_99.pdb	28
7	-9.825415111919888	-24.574206276175964	-2.5270288981273836	-22.04717737804858	0	10	88	10_88.pdb	6
8	729.597641854095	634.3059734909803	808.1009370498024	-173.79496355882216	0	3	83	3_83.pdb	14
9	1382.3092763316472	1270.4064084879246	1451.2023769881998	-180.7959685002752	0	2	26	2_26.pdb	7
10	1901.617217645484	1700.0439738281073	1855.1139475622663	-155.06997373415902	0	5	41	5_41.pdb	11
