	total_energy	grid_total	grid_vdw	grid_elec	grid_hbond	conformer_id	placement_id	PDB_name
0	-99.23004304244071	-84.82132916515425	-46.78834523561162	-38.03298392954264	0.0	10	4	10_4.pdb
1	-97.73568056280052	-88.18834770221824	-39.09562655807564	-49.0927211441426	0.0	1	5	1_5.pdb
2	-96.77639994726574	-73.53644741056036	-47.97771424212679	-25.558733168433566	0.0	8	5	8_5.pdb
3	-90.40428302390349	-79.09103675268284	-41.17023635580495	-37.92080039687789	0.0	4	3	4_3.pdb
4	-88.23436832189344	-85.64740972696276	-33.0610307421448	-52.586378984817955	0.0	2	3	2_3.pdb
5	-81.72446347432823	-61.873060509047356	-47.14411708286964	-14.728943426177713	0.0	11	1	11_1.pdb
6	-75.3941960629231	-70.12606677069226	-42.574957154037676	-27.55110961665458	0.0	3	2	3_2.pdb
7	-72.73210328062419	-68.0598598090707	-36.8185469520859	-31.24131285698479	0.0	4	5	4_5.pdb
8	-65.65188048515351	-56.61036369794591	-31.79458150717129	-24.815782190774616	0.0	9	2	9_2.pdb
9	-41.10812249376097	-63.14930806049098	-20.977108600936745	-42.172199459554236	0.0	11	4	11_4.pdb
10	-24.72864102635536	-47.645730806034706	-26.04956106897514	-21.59616973705956	0.0	5	3	5_3.pdb
11	-21.01317595787941	-26.992700242876467	70.7998344612258	-97.79253470410227	0.0	7	2	7_2.pdb
12	-20.827696786952277	-35.417045839316344	-18.367731007099405	-17.049314832216943	0.0	6	1	6_1.pdb
13	-15.937787049816631	-28.71477156224574	-5.007125069700773	-23.707646492544967	0.0	5	4	5_4.pdb
14	-2.6868315634721753	-42.07020536791712	-21.152739479834768	-20.91746588808235	0.0	3	3	3_3.pdb
15	-1.8344775928136752	-2.813303600089915	7.446891211373623	-10.260194811463538	0.0	1	1	1_1.pdb
16	0.6351585561390767	-22.416494741294326	-7.4004555416336	-15.016039199660726	0.0	1	3	1_3.pdb
17	9.018035202457021	-25.61861053916268	-10.295348808590623	-15.323261730572057	0.0	7	1	7_1.pdb
18	10.311866801454407	-31.495227619440183	17.925668986212866	-49.42089660565305	0.0	3	4	3_4.pdb
19	13.204291515845956	-4.6774117540792695	14.345206936545836	-19.022618690625105	0.0	2	5	2_5.pdb
20	56.088435141666146	2.077479241941756	21.61466155022642	-19.537182308284663	0.0	7	3	7_3.pdb
21	265.2644441307656	173.4421340366322	232.72993139387384	-59.28779735724164	0.0	9	4	9_4.pdb
22	273.0371933239244	135.77281888575203	190.40940005031038	-54.636581164558365	0.0	4	4	4_4.pdb
23	391.8387834367456	276.735928167987	411.82419085349903	-135.088262685512	0.0	8	4	8_4.pdb
24	445.4850020708714	358.19733126628336	658.1381349925857	-299.94080372630236	0.0	8	3	8_3.pdb
25	501.5975964931587	452.13847936636785	626.2163865353897	-174.07790716902184	0.0	3	1	3_1.pdb
26	624.4417293758913	440.85897741062286	511.7738033539182	-70.91482594329536	0.0	2	2	2_2.pdb
27	753.3299279368009	647.3841310386442	851.1055959537457	-203.72146491510148	0.0	6	3	6_3.pdb
28	821.9834227863813	741.1907399127089	1004.4101370749934	-263.2193971622845	0.0	5	5	5_5.pdb
29	849.0970730837745	749.5446213322333	998.1896522505394	-248.64503091830613	0.0	1	4	1_4.pdb
30	851.5741430934889	689.0801413770699	830.7826940096277	-141.7025526325577	0.0	4	1	4_1.pdb
31	861.3120352191416	607.8747190505488	766.8168846695072	-158.9421656189584	0.0	6	2	6_2.pdb
32	886.7298781006716	726.8193852727495	960.3089451155604	-233.48955984281093	0.0	10	5	10_5.pdb
33	908.1075475869894	844.4447086487763	1077.4213548508599	-232.97664620208354	0.0	6	5	6_5.pdb
34	996.6465046559908	804.300438270667	1084.8516678149924	-280.55122954432545	0.0	4	2	4_2.pdb
35	1025.781614110837	943.0823313292838	1247.4993773278088	-304.417045998525	0.0	9	1	9_1.pdb
36	1100.0218368449287	823.7349402658932	900.2491228505269	-76.51418258463366	0.0	9	3	9_3.pdb
37	1116.637942635756	962.927153584865	1210.7647546748103	-247.83760108994537	0.0	11	5	11_5.pdb
38	1167.0626297962003	989.4531279415867	1068.967864493104	-79.51473655151727	0.0	9	5	9_5.pdb
39	1210.2403424703923	1134.200599864342	1370.9792399152666	-236.77864005092474	0.0	3	5	3_5.pdb
40	1343.7346246832083	1204.6905522131328	1322.996806067482	-118.30625385434926	0.0	8	1	8_1.pdb
41	1403.2352573051871	1347.089932582996	1547.367560187468	-200.27762760447195	0.0	7	5	7_5.pdb
42	1421.9337301942303	1263.557821049624	1479.615079232986	-216.05725818336214	0.0	2	4	2_4.pdb
43	1426.5802905485916	1127.1254822100618	1417.0530950561272	-289.92761284606524	0.0	1	2	1_2.pdb
44	1569.6785627461977	1482.0153314192005	1738.6129784450177	-256.59764702581714	0.0	5	1	5_1.pdb
45	1580.6399028655596	1342.6993729806804	1531.6179487896165	-188.918575808936	0.0	11	3	11_3.pdb
