	total_energy	vdw	elec	grid_hbond	conformer_id	placement_id	PDB_name	cluster_size
0	-126.58911320112605	-40.644105060106185	-146.31134470577246	0.0	1	5	1_5.pdb	1
1	-125.61387931476563	-43.84547040854232	-136.0240425182792	0.0	8	5	8_5.pdb	1
2	-121.05002808907133	-36.76107101184446	-144.0382048618468	0.0	4	3	4_3.pdb	2
3	-87.81357516456461	-23.780567956871238	-121.88852081835817	0.0	3	5	3_5.pdb	1
4	-77.17209071534877	-13.30487812723379	-124.67281642877639	0.0	2	5	2_5.pdb	1
5	-70.93686930745143	-13.823032318083484	-120.98725236207598	0.0	6	5	6_5.pdb	1
6	1356.891595287693	930.3678276727328	-139.12042058085112	0.0	10	5	10_5.pdb	1
7	1654.1969088453097	930.1937802944699	-107.2937383994987	0.0	9	5	9_5.pdb	1
8	1848.948363537142	1265.459257895089	-150.78211065658704	0.0	11	5	11_5.pdb	1
9	2149.011905967905	1372.3606077982718	-165.66646668917295	0.0	5	5	5_5.pdb	2
10	2770.7834473963935	1956.9638214467873	-164.07302750759547	0.0	7	5	7_5.pdb	1
