	enthalpy	PDB_name
0	-28.087159025289274	14
1	-27.961156193644868	3
2	-27.95941822063042	11
3	-27.931795815476093	23
4	-27.892734320381173	24
5	-27.835340815915746	10
6	-27.82927879988514	19
7	-27.771793108122097	6
8	-27.71310061908957	13
9	-27.689527405639566	18
10	-27.29303895975567	20
11	-27.145105394744245	8
12	-27.13419091144076	25
13	-27.088690092929927	4
14	-27.08191925165477	22
15	-27.048641816650207	7
16	-26.209266727850107	9
17	-26.051656099509263	12
18	-25.444212634487737	21
19	-23.914496865305903	16
20	-23.342171714087126	17
21	-22.718034568663953	5
22	-22.23798015097992	15
23	-21.899009619751116	2
24	-14.770331777595253	1
