	enthalpy	vdw	elec	entropy	PDB_name	cluster_id
0	-7.92231011670207	-56.7998710718285	-16.12585790202509	0.0	1	1
1	-7.758755461800369	-56.22190511049388	-16.026912826609095	0.0	8	1
2	-6.382237016489956	-56.14142199886871	-17.0614402181666	-1.077965759589954	12	2
3	-12.582372722808365	-61.95105265511048	-16.657706266898543	-1.077965759589954	18	2
4	-10.68329191493521	-60.87816872985534	-16.895962178599483	-1.077965759589954	19	2
5	-12.557864996206664	-62.41972635641651	-16.653981000527946	-1.077965759589954	22	2
6	-13.518566340990457	-59.265120439722786	-16.403541997343908	-0.24319897674502652	10	3
7	-7.521018795494596	-56.41319255973092	-16.416337935902984	-0.24319897674502652	15	3
8	-13.488355249647771	-59.153894403155704	-16.367690220568672	-0.24319897674502652	2	3
9	-13.584794534279835	-59.27921441902758	-16.290333149366056	-0.24319897674502652	20	3
10	-15.652653999370768	-64.68477065983618	-15.927093233814407	-0.24319897674502652	21	3
11	-11.87698111361166	-60.546571265881184	-15.59969504537847	-0.24319897674502652	4	3
12	-11.890539874163036	-60.59354747589093	-15.57477087935544	-0.24319897674502652	7	3
13	-16.114569178270745	-59.820038263175945	-15.985112573446214	-0.20685743283491792	11	4
14	-14.532930881245811	-61.108264710876284	-15.515347632724591	-0.20685743283491792	13	4
15	-14.479842613211027	-61.14664737966351	-15.535185425319781	-0.20685743283491792	16	4
16	0.13890387981881513	-53.50927365650509	-16.27167319467644	-0.20685743283491792	17	4
17	0.48492948231180977	-52.35044979816126	-16.276982835826683	-0.20685743283491792	23	4
18	-14.272484127942747	-61.13925063672568	-15.58770521460814	-0.20685743283491792	25	4
19	-9.385594621272553	-60.57375688322886	-15.112412429574656	-0.20685743283491792	3	4
20	-16.15742432985466	-60.07793802272132	-15.948043237899379	-0.20685743283491792	6	4
21	-12.834569570366034	-59.54216172804337	-15.793154484360704	-0.20685743283491792	9	4
