	total_energy	vdw	elec	entropy	cluster_size	PDB_name	cluster_id
0	-19.477365806617847	-53.020800411098165	-28.641523931026477	-0.7549058035976479	3	10	2
1	-18.331478234986378	-54.43231715679349	-28.868333043184812	0.0	3	16	3
2	-17.919222611079437	-44.86016948161352	-28.247290304221448	-0.41103627807204757	2	1	1
3	-17.720722380535488	-45.069841991855924	-28.33622752209184	-0.377452901798824	3	2	5
4	-13.245007830753687	-40.77804229258144	-27.723444922889847	-0.7597383721184373	7	21	6
5	-12.838184326074863	-40.20868597877612	-27.61492744538594	-0.37745290179882396	3	6	4
