	enthalpy	vdw	elec	entropy	PDB_name	cluster_id
0	-21.247770313972513	-59.207103512203346	-20.435531445311184	-0.9118184955142613	10	1
1	-22.29261166332817	-62.1675630844294	-20.240334283062698	-0.9118184955142613	12	1
2	-14.003672499579768	-57.37331191074753	-18.91710683091209	-0.9118184955142613	20	1
3	-19.309458351285897	-61.893142570803626	-19.72786221153253	-0.9118184955142613	22	1
4	-21.36225220540096	-63.16324543196165	-20.1042145298573	-0.9118184955142613	25	1
5	-14.447170100586533	-51.8160284704677	-19.78946544845165	-0.9118184955142613	7	1
6	-26.949173870223017	-65.68812071498195	-20.104117564826243	-0.45938556323339674	1	2
7	-13.908703191422292	-57.79810749663483	-19.156569557887714	-0.45938556323339674	11	2
8	-27.304870979106493	-66.52846596396695	-19.92162867498343	-0.45938556323339674	13	2
9	-29.231188937249062	-69.66333033593689	-20.01434974638954	-0.45938556323339674	14	2
10	-26.66141877573933	-65.42609936832949	-20.12624845100801	-0.45938556323339674	15	2
11	-26.8890437150345	-65.57818017554766	-20.129793433872265	-0.45938556323339674	16	2
12	-20.544178736647893	-63.5975468159522	-19.775218331934802	-0.45938556323339674	17	2
13	-21.414104778655	-64.67334912725325	-19.794764617574383	-0.45938556323339674	18	2
14	-26.837835889855402	-65.80853271658312	-20.10679546650801	-0.45938556323339674	19	2
15	-26.870762916091877	-65.96958159149166	-20.058197926131278	-0.45938556323339674	2	2
16	-24.42934263789867	-62.87905861586288	-20.032759454869517	-0.45938556323339674	21	2
17	-29.25166018696899	-69.86406140661717	-19.960026001145376	-0.45938556323339674	23	2
18	-22.599146681629186	-60.80927184769526	-18.851577295048173	-0.45938556323339674	24	2
19	-17.320263344602786	-61.65494950103565	-19.994506537187068	-0.45938556323339674	3	2
20	-23.705935148715163	-63.343301916540916	-19.47772563537201	-0.45938556323339674	4	2
21	-26.883277171459618	-65.94370980516659	-20.11886248643778	-0.45938556323339674	6	2
22	-23.55505721566865	-66.25712560027861	-19.40097928911744	-0.45938556323339674	8	2
23	-18.660239091313315	-61.36482708887901	-20.61621136381144	-0.45938556323339674	9	2
