	enthalpy	PDB_name
0	-36.81568672105729	6
1	-36.78765455532674	2
2	-36.759873237184884	9
3	-36.73383020218243	21
4	-36.72151832431669	23
5	-36.714808668850004	3
6	-36.71353862789659	14
7	-36.696558337688195	8
8	-36.68829105172342	19
9	-36.65569890003988	17
10	-36.63553430682676	18
11	-35.479404641583734	13
12	-31.052600665405354	4
13	-30.968162029313298	7
14	-30.96456333403573	12
15	-29.806724474196603	1
16	-28.913053539442398	24
17	-28.756395040054006	15
18	-28.73119718582644	10
19	-27.85985566604336	16
20	-27.616851788729196	20
21	-27.484993854116286	22
22	-26.51698181285723	25
23	-26.324159529051308	5
24	-15.558303909204923	11
