	total_energy	vdw	elec	entropy	cluster_size	PDB_name	cluster_id
0	-38.462402131051746	-70.65348137283539	-21.90262376886208	-0.8158231883220646	17	13	2
1	-23.240951442041744	-59.52800596823893	-22.215291213514636	0.0	4	10	1
