	enthalpy	vdw	elec	entropy	PDB_name	cluster_id
0	-26.45768966939755	-61.73501004328577	-19.648233104280987	0.0	17	1
1	-25.910715838036136	-60.62651045095595	-19.646506681500806	0.0	8	1
2	-22.040438970828685	-59.82511665129854	-19.981516791822624	-0.7549058035976479	1	2
3	-21.879001228367663	-60.439868680102094	-19.885237242256466	-0.7549058035976479	23	2
4	-14.735385685801742	-53.03913331437522	-19.542919797883858	-0.7549058035976479	9	2
5	-28.74193767758057	-65.61243516299888	-18.975763331517907	-0.7674659791371177	10	3
6	-28.75396095229419	-65.55957062668206	-18.990025942051513	-0.7674659791371177	11	3
7	-31.617836382679346	-67.92134263575966	-19.461134796227363	-0.7674659791371177	12	3
8	-15.842270563252168	-57.651934775542095	-18.70964806757367	-0.7674659791371177	13	3
9	-19.360165090437132	-57.231129184954746	-20.04737839243999	-0.7674659791371177	14	3
10	-22.9212601489932	-64.12814095955017	-18.527404213532574	-0.7674659791371177	15	3
11	-23.223770355987927	-60.12147622608373	-20.110157287788613	-0.7674659791371177	16	3
12	-27.02780490171859	-63.46741168738103	-19.13866266787822	-0.7674659791371177	19	3
13	-28.388160142822798	-65.43091709042837	-19.103461650860705	-0.7674659791371177	20	3
14	-26.859621194287925	-63.22666554120614	-19.124196662455716	-0.7674659791371177	21	3
15	-28.63432805664126	-65.4333341606004	-18.99867472172475	-0.7674659791371177	22	3
16	-18.92772145347203	-57.20181803976274	-18.882126942660417	-0.7674659791371177	24	3
17	-28.754197049512932	-65.56292664381762	-18.958708878357662	-0.7674659791371177	25	3
18	-26.66852028970031	-62.64243725550483	-19.245080285737924	-0.7674659791371177	4	3
19	-28.757230534527576	-65.74197567091485	-18.885786232409895	-0.7674659791371177	5	3
20	-21.291274898950615	-60.40338332370302	-19.199281359218457	-0.7674659791371177	6	3
21	-28.305196375495353	-64.58719970997605	-18.94448838626282	-0.7674659791371177	7	3
