	total_energy	vdw	elec	entropy	cluster_size	PDB_name	cluster_id
0	-32.249876779068266	-67.80912778992024	-19.43917104476531	-0.7674659791371177	17	12	3
1	-26.302090740375327	-61.41967256368682	-19.647741984742474	0.0	2	17	1
2	-22.72552760983786	-60.090891421117334	-19.93988859989014	-0.754905803597648	3	1	2
