ChEMBL ID,Smiles
CHEMBL3655647,CN(c1cccnc1)c1ccnc(NC(=O)c2cccc(Cl)c2)c1
CHEMBL3818832,CC(C)C(=O)Nc1cc(Nc2c(Cl)ccc3c2OCO3)ccn1
CHEMBL3818920,CCC(=O)Nc1cc(Nc2c(Cl)ccc3c2OCO3)ccn1
CHEMBL3819276,O=C(Nc1cc(Nc2c(Cl)ccc3c2OCO3)ccn1)C1CCC1
