	enthalpy	vdw	elec	entropy	PDB_name	cluster_id
0	-25.743602580994814	-61.15447237510311	-17.933597878405212	0.0	15	1
1	-25.823241642055077	-61.06227764550302	-17.958776144135754	0.0	24	1
2	-25.995728401962445	-61.29080025718268	-17.960962568562405	0.0	4	1
3	-25.964990275572546	-61.247436162937554	-18.00792788291868	-0.37745290179882396	23	2
4	-25.92249410956633	-61.331486400419436	-17.99276535059036	-0.37745290179882396	7	2
5	-21.125890987295385	-59.301318628144514	-17.917753836407666	-0.37745290179882396	9	2
6	-22.564085409134307	-60.932497305514715	-17.933817570045296	-0.6446356986565426	11	3
7	-20.331242913533305	-56.89027260807959	-17.802966052653645	-0.6446356986565426	12	3
8	-25.983517355359623	-61.55237224716285	-17.93218990511029	-0.6446356986565426	18	3
9	-24.12337295927055	-59.374816568088654	-18.093525783032476	-0.6446356986565426	21	3
10	-25.964679563431567	-61.253152437497306	-17.964645840279196	-0.6446356986565426	3	3
11	-22.334495039339416	-60.97395157263253	-18.621993147128485	-0.6446356986565426	5	3
12	-25.575807135286144	-60.42682024168504	-18.011477303866002	-0.20685743283491792	1	4
13	-25.717918067225504	-61.36373722770723	-17.952923895111024	-0.20685743283491792	14	4
14	-25.975350056696268	-61.298170002351064	-17.989097827349028	-0.20685743283491792	16	4
15	-20.00508827697115	-59.16790203193717	-17.511838336645273	-0.20685743283491792	17	4
16	-25.469989168129466	-60.588719309280435	-18.005727840390527	-0.20685743283491792	19	4
17	-25.64493727273632	-60.96548694317487	-17.913865380943914	-0.20685743283491792	2	4
18	-25.934500282381162	-61.350138077920384	-17.933422195405047	-0.20685743283491792	20	4
19	-25.963278877190646	-61.35941835478567	-17.98202316194247	-0.20685743283491792	25	4
20	-25.910740961567722	-61.53929856710666	-17.938194042685492	-0.20685743283491792	8	4
