	enthalpy	PDB_name
0	-29.451978015981826	25
1	-29.42374145096338	5
2	-29.398357515745477	13
3	-29.300445818697504	15
4	-28.408191861949824	4
5	-28.304387659012257	9
6	-28.128076834046567	12
7	-27.979341395456004	23
8	-27.908048052232395	3
9	-27.86099395777869	18
10	-27.784355964773308	17
11	-27.33985716055685	24
12	-26.433409919211275	6
13	-23.41680605986974	7
14	-23.190632840713125	19
15	-22.514552012201165	21
16	-22.198512486601587	8
17	-22.0652233216717	16
18	-22.014841116237893	22
19	-21.604515989511224	10
20	-20.98549346446698	11
21	-20.53207720600224	14
22	-20.505818100780473	2
23	-19.03445530239847	20
24	-15.570036360646421	1
