	enthalpy	vdw	elec	entropy	PDB_name	cluster_id
0	-17.072270511511135	-54.58882695463893	-19.02717731346432	0.0	14	1
1	-17.133015039950372	-55.198179538892006	-19.02745335120671	0.0	2	1
2	-22.786479431181732	-63.32089479479798	-19.37281649695502	-0.37745290179882396	16	2
3	-24.576615659585023	-58.504250441749626	-19.680992610419175	-0.37745290179882396	17	2
4	-27.5339240515521	-65.37865659766605	-19.140566312989137	-0.37745290179882396	3	2
5	-18.095427743425212	-60.4780816669631	-19.406160413672488	-0.2967386371581454	19	3
6	-22.34118337676883	-63.51501630189669	-19.375921710354955	-0.2967386371581454	20	3
7	-19.223605203430008	-56.06094417873746	-19.386981795616254	-0.2967386371581454	21	3
8	-20.58740958980727	-61.915290497026085	-19.510158716836838	-0.2967386371581454	22	3
9	-17.719196170480043	-60.43187468791986	-19.418837358378745	-0.2967386371581454	7	3
10	-20.327477890151307	-61.51784788979	-19.28763511330986	-0.4706819227089458	10	4
11	-24.30127833365539	-66.19654150714503	-19.182129123391686	-0.4706819227089458	11	4
12	-30.538748070326125	-66.92771325070946	-19.41134220913375	-0.4706819227089458	12	4
13	-28.101950110463523	-65.30748891735246	-19.695442815735753	-0.4706819227089458	13	4
14	-28.41243228850351	-65.86613803847914	-19.562788226801953	-0.4706819227089458	15	4
15	-28.990414648648247	-66.48066314544005	-19.215040371836466	-0.4706819227089458	18	4
16	-31.082385324691643	-68.3791438638428	-19.116733523483507	-0.4706819227089458	23	4
17	-26.490780369625764	-65.04951126585689	-19.068512420860614	-0.4706819227089458	24	4
18	-30.41221201839557	-67.99389867413946	-19.20182509199634	-0.4706819227089458	25	4
19	-30.990253083769133	-67.96720073366083	-19.180680633374898	-0.4706819227089458	4	4
20	-27.579161212042603	-66.58048279455889	-19.32881247572506	-0.4706819227089458	6	4
21	-23.498169856194195	-63.116585549339696	-19.589499115379365	-0.4706819227089458	8	4
22	-31.025200589177448	-67.97060844461956	-19.172348915228525	-0.4706819227089458	9	4
