	enthalpy	vdw	elec	entropy	PDB_name	cluster_id
0	-28.568453695357952	-61.56404329416524	-20.607402333553924	-0.4110362780720475	19	1
1	-26.611392660996117	-59.227728452061925	-20.184303201319356	-0.4110362780720475	22	1
2	-32.474320889260746	-65.04676681108738	-20.663948951156538	-0.37745290179882396	13	2
3	-32.600027143323	-65.17661786733821	-20.671641019653844	-0.37745290179882396	14	2
4	-29.05214849156691	-62.474925470628214	-20.08426868741141	-0.37745290179882396	15	2
5	-26.261568366894124	-60.41122971485225	-21.011369307687378	-0.7549058035976479	23	3
6	-27.4720513001587	-59.414456686789094	-20.61387558973523	-0.7549058035976479	25	3
7	-26.93420806234291	-59.73624619126909	-20.187950089676978	-0.7549058035976479	5	3
8	-32.12936714465234	-65.5148804645324	-20.731150526745502	-1.0417723469001163	1	4
9	-24.824185070486518	-63.02859856271752	-20.545354129166462	-1.0417723469001163	12	4
10	-32.45083059494295	-64.88479871933288	-20.753786004035025	-1.0417723469001163	16	4
11	-29.244014456306047	-62.768908586171214	-19.95744899170232	-1.0417723469001163	17	4
12	-32.05105014827868	-64.54784640158387	-20.74244860604016	-1.0417723469001163	18	4
13	-24.839743859186527	-60.9768583537538	-20.250106362028657	-1.0417723469001163	2	4
14	-32.577092933068926	-64.99765496784296	-20.681965814992054	-1.0417723469001163	21	4
15	-30.62538677703974	-63.68698899730803	-21.015330840680722	-1.0417723469001163	3	4
16	-29.187087127504245	-62.687434177125546	-20.017822204512633	-1.0417723469001163	4	4
17	-29.109867896771753	-62.36459336124381	-20.09478305072727	-1.0417723469001163	6	4
18	-23.130619477994628	-60.07770897453831	-19.7042115431788	-1.0417723469001163	7	4
19	-32.53375295480038	-64.61286918394202	-20.703540517385022	-1.0417723469001163	8	4
20	-29.113989181697793	-63.361775294587886	-20.415277737686296	-1.0417723469001163	9	4
