	enthalpy	PDB_name
0	-27.273872423773852	16
1	-27.249438702547316	3
2	-27.168415611642704	21
3	-27.099325366689246	18
4	-27.02187030922911	8
5	-26.954228860954327	24
6	-26.86701911629367	15
7	-26.85023474269182	4
8	-26.657432894132057	17
9	-26.636142132545856	13
10	-26.48731163202631	6
11	-26.387065603951566	14
12	-26.2605551212597	1
13	-26.161389288680923	25
14	-25.988849206172254	19
15	-25.88552595146375	5
16	-25.79198822802674	10
17	-25.366159402067318	20
18	-24.971510613018143	22
19	-23.80940754294176	9
20	-22.484603002836263	23
21	-22.24744136272265	2
22	-21.01369308154962	7
23	-18.50512253317456	12
24	-16.898296090814597	11
