	total_energy	vdw	elec	entropy	cluster_size	PDB_name	cluster_id
0	-33.43208661219199	-64.87015676800551	-20.717732992847093	-1.0417723469001163	13	21	4
1	-32.91640395861971	-65.1148686034212	-20.66738833923847	-0.3774529017988239	3	14	2
2	-28.909893214763574	-61.48095955922814	-20.592356135361285	-0.41103627807204757	2	19	1
3	-27.98286262376889	-59.58357597204871	-20.53540433527184	-0.7549058035976479	3	25	3
