	total_energy	grid_total	grid_vdw	grid_elec	grid_hbond	conformer_id	placement_id	PDB_name	cluster_size
0	-120.07462909353978	-99.56456921935506	-50.89557146588003	-48.66899775347503	0	10	63	10_63.pdb	9
1	-116.57061800343956	-102.19299578404758	-53.728839825426775	-48.464155958620815	0	11	39	11_39.pdb	14
2	-106.98898029718472	-85.23398319126676	-51.724659187704944	-33.50932400356182	0	6	92	6_92.pdb	13
3	-100.7872396148943	-85.67657724247002	-48.89700698765472	-36.779570254815305	0	2	54	2_54.pdb	7
4	-99.81248508857831	-97.93821654396197	-46.35585764884342	-51.58235889511856	0	7	93	7_93.pdb	11
5	-98.92638506808304	-78.72594707583767	-45.72733337616908	-32.998613699668596	0	8	23	8_23.pdb	33
6	-91.46813127036106	-80.48009658416395	-47.9712600274604	-32.50883655670354	0	1	54	1_54.pdb	12
7	-71.0621790446234	-69.66779851463227	-36.11686770041016	-33.55093081422211	0	9	50	9_50.pdb	5
8	1130.226874643685	903.8150672884398	1124.6016597924756	-220.78659250403584	0	4	47	4_47.pdb	8
9	1312.856219862136	1140.4864392240527	1427.3672084350274	-286.8807692109747	0	3	75	3_75.pdb	12
10	1394.0414336473111	1207.806316261285	1399.7259750859275	-191.91965882464257	0	5	64	5_64.pdb	13
