	enthalpy	PDB_name
0	-27.755610022114936	6
1	-27.711896247607704	5
2	-27.708623976019684	10
3	-27.704375394758053	14
4	-27.59282985390045	22
5	-27.4079342467295	15
6	-27.395086803237703	17
7	-27.326798829297516	20
8	-27.17122446140258	3
9	-27.03183517704753	19
10	-26.99066671211753	8
11	-26.915102907378472	4
12	-26.890504587555892	16
13	-26.847809057522333	24
14	-26.60743388425027	13
15	-26.377760752358604	23
16	-25.65242664380338	18
17	-24.112486164244174	21
18	-23.841668986241963	2
19	-23.418096978196612	9
20	-22.590233638295697	1
21	-22.126428189011097	12
22	-21.744059881071184	7
23	-14.422910462001493	25
24	-11.401887382214571	11
