	enthalpy	PDB_name
0	-29.709689880358095	23
1	-29.65699623126924	9
2	-29.619578584108876	17
3	-29.513463952672332	8
4	-29.4804968432129	12
5	-28.98497368813448	7
6	-28.93617189370134	13
7	-28.894529177049858	11
8	-28.881065726891975	3
9	-28.857688508672858	1
10	-28.777338414910908	10
11	-27.05216812074858	4
12	-26.65556949662079	22
13	-26.598996167036535	2
14	-26.426645652466107	24
15	-26.320131747311237	6
16	-26.04131682848773	16
17	-24.995217355897196	5
18	-23.00812999953892	15
19	-22.951702445451794	25
20	-22.72952658082693	14
21	-21.416084229254526	21
22	-19.788362335187742	19
23	-17.780802363253276	20
24	-14.27191785864165	18
