	enthalpy	vdw	elec	entropy	PDB_name	cluster_id
0	6.248350058887817	-46.26608384828589	-21.16318493457945	-0.822072556144095	18	1
1	-22.18762520744378	-62.84233777256772	-21.852095111377842	-0.822072556144095	22	1
2	-20.111576903661735	-60.87812148760932	-22.274973154307894	-0.4110362780720475	19	2
3	-20.605995632046014	-60.437557757344486	-21.66255809622391	-0.4110362780720475	21	2
4	-22.30285666259077	-63.01364740101322	-21.75376565224133	0.0	16	3
5	-22.256671575133048	-63.06979325101467	-21.80932637605781	0.0	2	3
6	-21.423030297031975	-61.39764493649873	-21.871419907484988	0.0	6	3
7	-28.171825923343388	-65.17524410702816	-21.782101013465514	-0.5934772743162908	1	4
8	-27.889376773043562	-64.91266337887	-21.63611897819073	-0.5934772743162908	13	4
9	-19.97189363227536	-60.123183772369096	-21.92588509562575	-0.5934772743162908	25	4
10	-26.883133843338747	-68.1216791344614	-21.915830498754076	-0.5934772743162908	5	4
11	-27.246073150139516	-64.14570488527859	-21.690873856818552	-0.5934772743162908	7	4
12	-28.34338152762209	-65.4700643316707	-21.757544611572325	0.0	10	5
13	-26.14030343916935	-62.56448721521209	-21.660573141727166	0.0	11	5
14	-28.303657902532827	-64.99918966956265	-21.817020343503227	0.0	12	5
15	-28.372469361099796	-65.24062844545819	-21.772041983720214	0.0	17	5
16	-28.217498956073975	-65.02771233660532	-21.82498849805656	0.0	23	5
17	-27.595966366576153	-64.74295834717395	-21.574434283578274	0.0	3	5
18	-28.07303043112742	-64.98297469570474	-21.732601403069395	0.0	4	5
19	-28.267595939311196	-65.27012108879212	-21.763671573759066	0.0	8	5
20	-28.19198185006137	-65.18045126182733	-21.75750999794485	0.0	9	5
