	total_energy	grid_total	grid_vdw	grid_elec	grid_hbond	conformer_id	placement_id	PDB_name	cluster_size
0	-101.47787960661796	-83.05348212171195	-46.65898936187588	-36.39449275983607	0.0	6	11	6_11.pdb	6
1	-93.84683850484933	-65.7729805023804	-42.12153096079966	-23.651449541580742	0.0	2	3	2_3.pdb	1
2	-92.45054453339552	-77.29137861158452	-44.80687350731138	-32.48450510427315	0.0	8	1	8_1.pdb	4
3	-45.746865438550074	-50.83075284208239	-23.893308365834933	-26.937444476247453	0.0	7	11	7_11.pdb	2
4	515.6919165689	337.41816650067415	764.9659972763998	-427.54783077572563	0.0	10	11	10_11.pdb	2
5	745.7432061209935	705.0338955507515	824.3912268971586	-119.35733134640716	0.0	11	3	11_3.pdb	1
6	809.7322654927498	649.7686023856743	803.0803722314099	-153.31176984573557	0.0	5	14	5_14.pdb	4
7	892.7682778673084	722.3654863842512	853.5756937091379	-131.21020732488677	0.0	3	5	3_5.pdb	2
8	979.7274443982187	890.0986177743441	1104.829005422928	-214.73038764858396	0.0	4	14	4_14.pdb	2
9	1238.6038128625944	1082.1727223969208	1328.6859251638036	-246.51320276688287	0.0	9	12	9_12.pdb	2
10	1977.7184793189888	1732.1192249892954	1835.5920937357214	-103.47286874642607	0.0	1	12	1_12.pdb	2
