	total_energy	vdw	elec	entropy	cluster_size	PDB_name	cluster_id
0	-35.66383659641273	-65.51079323000806	-22.142653948537763	-0.8919178962883305	6	1	7
1	-33.51434559310595	-64.14391956096894	-22.065459565523845	-0.3774529017988239	3	20	5
2	-33.234386807243844	-62.68414507917253	-22.781975605502083	-1.0003942222768596	4	13	6
3	-32.997400686309945	-64.25524322530866	-22.01467090645287	0.0	3	22	4
4	-30.597522361876578	-61.631711090253944	-22.013583756720138	0.0	2	24	3
5	-29.86246058581018	-63.821280588953904	-21.704737464344923	-0.822072556144095	2	11	1
6	-28.49848207505578	-58.8367447921513	-21.153972534138628	-0.822072556144095	2	16	2
