	enthalpy	PDB_name
0	-32.191672922126195	21
1	-32.091869782294715	1
2	-31.99738447641711	4
3	-31.975289089693987	8
4	-31.68118867219973	15
5	-31.648956551379875	20
6	-31.19780494127293	3
7	-31.171377450039643	16
8	-31.006205904579552	18
9	-30.73853331071624	24
10	-30.548867077550447	25
11	-30.531042862831274	13
12	-29.437503876585577	10
13	-28.371260597517907	7
14	-28.362654984212305	11
15	-28.231583433069986	23
16	-28.19770897632521	6
17	-27.790505408741375	9
18	-26.820511008598213	19
19	-26.301472706999565	14
20	-26.267299660016164	12
21	-25.68430079556124	17
22	-25.650275943263374	2
23	-24.01011702910193	22
24	-19.67802218137291	5
