	enthalpy	vdw	elec	entropy	PDB_name	cluster_id
0	-23.24599512624391	-60.056472137037346	-19.534681012481762	-0.822072556144095	13	1
1	-28.657804662148912	-63.91115273870017	-18.13595680312431	-0.822072556144095	8	1
2	-28.63298360237335	-64.41569897871518	-18.222565821277122	-1.0701856453991552	1	2
3	-25.574470735758872	-61.88805314628703	-17.96116587315499	-1.0701856453991552	10	2
4	-29.024953801327307	-65.27670950147937	-18.11470594232078	-1.0701856453991552	16	2
5	-29.058239961280073	-65.37468922459028	-18.086869366658004	-1.0701856453991552	20	2
6	-20.881362272330975	-59.75732066907484	-17.37101184079416	-1.0701856453991552	22	2
7	-26.831272495050708	-63.06407540082998	-18.425083448422253	-1.0701856453991552	24	2
8	-20.603256863798684	-62.2924137483563	-17.54095537137838	-1.0701856453991552	6	2
9	-25.42472593476023	-62.34292331215615	-18.75225185139671	-0.8545637082873252	11	3
10	-27.361354569072194	-62.7654483688901	-18.852074503320612	-0.8545637082873252	12	3
11	-27.306433896259698	-62.442841965896044	-18.846014716676816	-0.8545637082873252	14	3
12	-29.405988015767324	-64.99462322648097	-17.87431218717716	-0.8545637082873252	15	3
13	-27.352761561038097	-62.5149066677819	-18.847480183537517	-0.8545637082873252	17	3
14	-28.46477075503115	-64.0120496948589	-17.92562810505503	-0.8545637082873252	18	3
15	-19.28919607095821	-58.34042818241616	-18.98059461488443	-0.8545637082873252	19	3
16	-26.05449363194668	-62.07879673841439	-18.7292719886205	-0.8545637082873252	2	3
17	-27.166204936722778	-62.251971973758764	-18.76338774378748	-0.8545637082873252	21	3
18	-22.277420067812727	-60.652445604158935	-18.361600396375465	-0.8545637082873252	23	3
19	-29.63580003530636	-65.19635358843368	-17.83748438137483	-0.8545637082873252	25	3
20	-29.637790807741325	-65.20791697234483	-17.83503674336839	-0.8545637082873252	3	3
21	-29.63111408637811	-65.23695774762078	-17.85875294720922	-0.8545637082873252	4	3
22	-27.452185228622106	-63.22422504673963	-18.847033588391923	-0.8545637082873252	5	3
23	-27.282652215992346	-62.33614522023798	-18.871660744921687	-0.8545637082873252	7	3
24	-22.39801905743599	-61.11342257254604	-18.38823810434817	-0.8545637082873252	9	3
