	enthalpy	PDB_name
0	-30.280770657844172	4
1	-30.220204362977352	18
2	-30.168121452667645	3
3	-30.065555686302197	15
4	-30.01499439807897	25
5	-29.622054967405663	17
6	-29.531576666486533	5
7	-29.486077083243643	21
8	-29.481473492583188	2
9	-29.442683255263844	14
10	-29.306362563313495	12
11	-28.917559670455233	11
12	-28.688472370946723	7
13	-28.62617118925722	16
14	-28.54762558131591	1
15	-28.54418135152418	24
16	-28.51231719507618	20
17	-28.43680412359363	8
18	-26.530845624062852	13
19	-25.30123986944047	9
20	-25.10852993179111	10
21	-24.767402080450594	23
22	-21.151132713513576	22
23	-19.873532564212674	6
24	-18.643215620720504	19
