	total_energy	grid_total	grid_vdw	grid_elec	grid_hbond	conformer_id	placement_id	PDB_name	cluster_size
0	-118.02871234049034	-100.64374803848025	-52.00778167966869	-48.63596635881156	0	11	95	11_95.pdb	20
1	-106.11607477574174	-90.20300010779877	-48.779795555785185	-41.423204552013594	0	4	32	4_32.pdb	8
2	-96.2873094054209	-78.66411744832304	-44.596636737442765	-34.067480710880275	0	8	13	8_13.pdb	28
3	-93.24029430017981	-80.67479456221419	-43.744843470483815	-36.92995109173037	0	1	96	1_96.pdb	12
4	827.2942822795872	742.4350016584497	983.770758073221	-241.3357564147713	0	6	85	6_85.pdb	10
5	845.8897043469344	755.1821262227288	1000.5607165739323	-245.37859035120348	0	10	17	10_17.pdb	9
6	855.8723032216037	615.5766881030622	727.8427678241086	-112.26607972104634	0	3	60	3_60.pdb	10
7	866.1772017825847	829.4051606279827	1078.0288364997411	-248.6236758717584	0	9	21	9_21.pdb	6
8	868.0725495100246	755.2145114208912	992.5266080576631	-237.31209663677188	0	7	64	7_64.pdb	10
9	1144.929927987198	993.9471057691851	1256.113635439315	-262.1665296701298	0	2	22	2_22.pdb	6
10	1512.5234670678967	1317.0501184774662	1491.810787910079	-174.7606694326128	0	5	39	5_39.pdb	12
