	total_energy	grid_total	grid_vdw	grid_elec	grid_hbond	conformer_id	placement_id	PDB_name
128	-86.01021948763176	-79.77153847234663	-44.44074480690103	-35.3307936654456	0	8	46	8_46.pdb
129	-85.83630933811631	-82.24839492541994	-41.983347144269416	-40.26504778115053	0	1	48	1_48.pdb
130	-85.76274136049192	-76.66098452383741	-42.869319448348655	-33.79166507548876	0	6	86	6_86.pdb
131	-85.65450248101612	-75.78091740776026	-47.65654543014785	-28.1243719776124	0	10	38	10_38.pdb
132	-85.51903409526031	-84.75878697550414	37.61189059814736	-122.3706775736515	0	5	44	5_44.pdb
133	-85.51115690338023	-72.04969302875442	-38.056685652828854	-33.993007375925565	0	7	38	7_38.pdb
134	-85.28836611021711	-79.50102191565566	-33.29480652554355	-46.20621539011211	0	11	59	11_59.pdb
135	-85.16890888517892	-73.31311596625673	-41.09689557111444	-32.2162203951423	0	11	70	11_70.pdb
136	-85.16197626419252	-84.45506733572009	-40.42616144736285	-44.02890588835724	0	4	84	4_84.pdb
137	-85.10836526311518	-68.90233594390371	-40.30666853626099	-28.59566740764272	0	8	17	8_17.pdb
138	-84.87397654789781	-77.52932633603878	-52.389607029338286	-25.139719306700496	0	1	86	1_86.pdb
139	-84.39201249739708	-69.36819075076842	-27.683195154331724	-41.6849955964367	0	3	98	3_98.pdb
140	-84.32890251250151	-76.8877018500362	-35.27240426866875	-41.615297581367436	0	11	3	11_3.pdb
141	-84.10281675332142	-73.42418083252129	-43.21318126762701	-30.21099956489428	0	1	88	1_88.pdb
142	-83.91522036883417	-69.59674445896019	-39.023105771388465	-30.573638687571727	0	9	26	9_26.pdb
143	-83.84638086036497	-69.86352445878616	-45.67362065274267	-24.189903806043485	0	1	3	1_3.pdb
144	-83.45332026563088	-71.56943607484675	-35.14013072355628	-36.42930535129046	0	8	18	8_18.pdb
145	-83.35174053101665	-72.18660593219302	-41.157876632493554	-31.028729299699464	0	8	11	8_11.pdb
146	-83.27975558340034	-74.98456417566359	-42.81841800509959	-32.166146170564005	0	3	42	3_42.pdb
147	-83.14827642186745	-68.14471203064588	-41.654108997659506	-26.49060303298637	0	8	81	8_81.pdb
148	-82.91781973101847	-60.931726137439426	-44.71433903340049	-16.21738710403893	0	10	65	10_65.pdb
149	-82.86607895971241	-84.71736634140838	-42.40752803903894	-42.30983830236944	0	7	57	7_57.pdb
150	-82.7343569155181	-69.91714241776194	-34.272476519820486	-35.64466589794145	0	8	22	8_22.pdb
151	-82.689678623202	-71.41086485585835	-38.56618450862745	-32.8446803472309	0	11	23	11_23.pdb
152	-82.53093923896266	-67.52336124001361	-41.15620043538162	-26.367160804631997	0	2	29	2_29.pdb
153	-82.25474652918588	-64.33654769105458	-31.02126309233106	-33.315284598723515	0	11	48	11_48.pdb
